geom_id,AR,lambda,twist,w_hover,ucb_total,ucb_hover,ucb_cruise,exploit_hover,explore_hover,exploit_cruise,explore_cruise,hover_mu,hover_std_raw,hover_lower95,hover_upper95,cruise_mu,cruise_std_raw,cruise_lower95,cruise_upper95,hover_alpha,hover_v,cruise_alpha,cruise_v,median_hover,median_cruise,kappa_hover_eff,kappa_cruise_eff,lambda95_hover,lambda95_cruise
G004,31.0963,0.6196,-14.7806,0.05,1.12703,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.1,1.18919,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.15,1.25134,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.2,1.3135,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.25,1.37566,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.3,1.43782,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.35,1.49997,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.4,1.56213,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.45,1.62429,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.5,1.68645,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.55,1.74861,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.6,1.81076,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.65,1.87292,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.7,1.93508,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.75,1.99724,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.8,2.0594,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.85,2.12155,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.9,2.18371,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,0.95,2.24587,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G004,31.0963,0.6196,-14.7806,1,2.30803,2.30803,1.06487,1.94489,0.363139,1.02733,0.0375382,0.741865,0.0431411,0.602391,0.881338,3.54325,0.329989,2.32648,4.76002,16.9841,23.9206,14.6032,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G005,26.5251,0.5331,-9.0775,0,1.29028,2.32189,1.29028,1.98394,0.337951,1.25963,0.030645,0.75676,0.0401487,0.626961,0.88656,4.34446,0.269392,3.35112,5.33779,16.3492,38.6032,11.4286,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G005,26.5251,0.5331,-9.0775,0.05,1.34186,2.32189,1.29028,1.98394,0.337951,1.25963,0.030645,0.75676,0.0401487,0.626961,0.88656,4.34446,0.269392,3.35112,5.33779,16.3492,38.6032,11.4286,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G005,26.5251,0.5331,-9.0775,0.1,1.39344,2.32189,1.29028,1.98394,0.337951,1.25963,0.030645,0.75676,0.0401487,0.626961,0.88656,4.34446,0.269392,3.35112,5.33779,16.3492,38.6032,11.4286,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G005,26.5251,0.5331,-9.0775,0.15,1.44502,2.32189,1.29028,1.98394,0.337951,1.25963,0.030645,0.75676,0.0401487,0.626961,0.88656,4.34446,0.269392,3.35112,5.33779,16.3492,38.6032,11.4286,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G005,26.5251,0.5331,-9.0775,0.2,1.4966,2.32189,1.29028,1.98394,0.337951,1.25963,0.030645,0.75676,0.0401487,0.626961,0.88656,4.34446,0.269392,3.35112,5.33779,16.3492,38.6032,11.4286,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G005,26.5251,0.5331,-9.0775,0.25,1.54818,2.32189,1.29028,1.98394,0.337951,1.25963,0.030645,0.75676,0.0401487,0.626961,0.88656,4.34446,0.269392,3.35112,5.33779,16.3492,38.6032,11.4286,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
