geom_id,AR,lambda,twist,n_hover_steps,n_cruise_steps,meas_hover_alpha,meas_hover_v,meas_hover_mu,meas_hover_var,meas_cruise_alpha,meas_cruise_v,meas_cruise_mu,pred_hover_alpha,pred_hover_v,pred_hover_mu,pred_hover_std,pred_hover_lower95,pred_hover_upper95,pred_cruise_alpha,pred_cruise_v,pred_cruise_mu,pred_cruise_std,pred_cruise_lower95,pred_cruise_upper95,pred_hover_mu_norm,pred_cruise_mu_norm,meas_hover_mu_norm,meas_cruise_mu_norm
G104,26.9806,0.638499,-8.9404,0,1,,,,,8.31314,23.0729,3.60103,16.5079,38.6032,0.716304,0.0531016,0.544628,0.887979,12.0635,25,4.08924,0.257462,3.1399,5.03858,1.87788,1.18564,,1.04408
G105,28.0332,0.728754,-7.27814,0,1,,,,,17.6969,22.3733,3.15092,12.6984,21.5714,0.733038,0.0452134,0.586865,0.879212,11.746,25,3.91783,0.254977,2.97765,4.85801,1.92175,1.13594,,0.913579
G106,27.0672,0.841919,-5.53722,0,1,,,,,19.493,17.1487,3.1993,12.2222,21.5714,0.752547,0.0513874,0.586414,0.918681,11.4286,25,3.93298,0.259258,2.97702,4.88895,1.97289,1.14033,,0.927606
G107,28.1358,0.539302,-10.5817,0,1,,,,,18.917,16.4345,3.09922,16.3492,38.6032,0.685009,0.0449377,0.539727,0.830291,12.0635,25,4.03342,0.270523,3.03592,5.03093,1.79583,1.16945,,0.898588
G108,25.5598,0.579333,-5.04131,0,1,,,,,14.387,24.142,3.71284,16.3492,38.6032,0.686629,0.0887209,0.399798,0.973461,9.52381,25,4.71219,0.265252,3.73412,5.69025,1.80008,1.36625,,1.0765
G109,25.3188,0.949365,-13.3405,0,1,,,,,16.9152,21.9147,4.09569,17.619,19.2222,0.535614,0.0894986,0.246268,0.82496,15.873,25,4.35607,0.276497,3.33654,5.3756,1.40418,1.263,,1.1875
G110,26.5507,0.971058,-7.5782,0,1,,,,,5.08044,22.9742,1.00085,12.2222,21.5714,0.729832,0.0608349,0.533155,0.926509,14.2857,25,4.08524,0.266803,3.10146,5.06902,1.91334,1.18448,,0.290185
G111,25.669,0.911532,-7.07106,0,1,,,,,14.7841,24.3834,4.08415,12.381,21.5714,0.759166,0.0501359,0.597079,0.921254,13.0159,25,4.03912,0.25949,3.0823,4.99594,1.99025,1.1711,,1.18416
G112,28.6485,0.687326,-4.6276,0,1,,,,,11.0232,15.7078,3.76005,12.2222,21.5714,0.660451,0.0698388,0.434665,0.886237,9.84127,25,4.04721,0.266801,3.06343,5.03099,1.73145,1.17345,,1.09019
G113,20.0465,0.567954,-6.82364,0,1,,,,,15.4037,16.8541,4.40097,16.3492,38.6032,0.735407,0.0723057,0.501646,0.969169,9.84127,25,5.48386,0.264128,4.50994,6.45778,1.92796,1.58999,,1.27602
G114,21.0485,0.941694,-13.7492,0,1,,,,,11.5052,19.0031,3.44013,17.619,19.2222,0.542359,0.0918337,0.245464,0.839255,15.873,25,4.63617,0.301864,3.52311,5.74924,1.42186,1.34421,,0.997431
G115,23.7171,0.945055,-5.23889,0,1,,,,,18.4386,20.3024,3.50337,11.9048,21.5714,0.748886,0.0574777,0.563063,0.93471,11.4286,25,4.10063,0.271989,3.09772,5.10353,1.9633,1.18894,,1.01577
G116,22.2091,0.595187,-3.8136,0,1,,,,,8.89576,18.9006,4.73926,16.3492,38.6032,0.613104,0.101806,0.28397,0.942237,8.88889,25,5.3666,0.257635,4.41662,6.31658,1.60733,1.55599,,1.3741
G117,25.0166,0.855483,-5.5882,0,1,,,,,10.6622,15.5404,3.85541,12.2222,21.5714,0.759386,0.0506976,0.595483,0.92329,11.1111,25,4.0885,0.258748,3.13441,5.04258,1.99082,1.18542,,1.11784
G118,30.823,0.543036,-7.78335,0,1,,,,,13.5506,22.4087,3.86275,16.3492,38.6032,0.767177,0.054358,0.59144,0.942915,10.7937,25,3.87049,0.284355,2.82198,4.91899,2.01125,1.12221,,1.11997
G119,23.2703,0.95732,-11.3257,0,1,,,,,2.46339,20.8635,-2.56061,12.381,21.5714,0.579007,0.076819,0.330654,0.82736,15.2381,25,4.42465,0.268389,3.43501,5.41428,1.51794,1.28288,,-0.742424
G120,27.3535,0.682116,-13.6855,0,1,,,,,4.0178,24.6392,-1.18443,16.8254,23.9206,0.704084,0.0497945,0.5431,0.865068,14.9206,25,3.99056,0.266186,3.00904,4.97207,1.84584,1.15702,,-0.343415
G121,21.9355,0.744703,-3.85776,0,1,,,,,16.1526,16.9996,3.25943,11.746,21.5714,0.677121,0.068598,0.455346,0.898896,9.20635,25,4.85644,0.261112,3.89364,5.81923,1.77515,1.40808,,0.945041
G122,25.3739,0.878211,-11.5816,0,1,,,,,8.75425,24.736,2.48709,12.5397,21.5714,0.587192,0.0747574,0.345503,0.82888,15.2381,25,4.23678,0.258122,3.28501,5.18856,1.53939,1.22841,,0.721108
G123,24.6966,0.692908,-8.51196,0,1,,,,,15.6084,17.0047,3.6682,12.8571,21.5714,0.70745,0.0419779,0.571737,0.843164,11.746,25,4.28361,0.257141,3.33545,5.23177,1.85467,1.24199,,1.06356
G124,19.5464,0.755633,-6.447,0,1,,,,,8.19008,20.5807,4.40253,12.5397,21.5714,0.737514,0.0566782,0.554275,0.920752,10.4762,25,4.91359,0.264346,3.93887,5.88832,1.93348,1.42465,,1.27647
G125,21.596,0.925079,-3.54457,0,1,,,,,9.47962,19.7234,4.12372,11.4286,21.5714,0.710743,0.0570005,0.526462,0.895023,9.52381,25,4.40089,0.289698,3.33268,5.46909,1.8633,1.27599,,1.19563
G126,29.2494,0.529973,-9.53006,0,1,,,,,5.57776,19.5973,1.77429,16.3492,38.6032,0.73976,0.0420035,0.603964,0.875556,11.746,25,3.96675,0.274616,2.95415,4.97934,1.93937,1.15012,,0.514437
G127,23.857,0.556472,-13.5646,0,1,,,,,7.18917,22.5506,2.02363,16.9841,23.9206,0.720565,0.0500235,0.558841,0.882289,13.9683,25,4.47538,0.27582,3.45835,5.49241,1.88905,1.29759,,0.58673
G128,26.106,0.97732,-9.1798,0,1,,,,,15.175,17.899,5.29296,12.381,21.5714,0.676678,0.0651978,0.465896,0.88746,14.9206,25,4.20647,0.265403,3.22785,5.18509,1.77399,1.21963,,1.53464
G129,18.925,0.5126,-3.2208,0,12,,,,,8,22.624,6.51481,16.1905,38.6032,0.579793,0.106289,0.236164,0.923422,8.57143,25,6.45196,0.258684,5.49812,7.40581,1.52,1.87068,,1.88891
